Kanji,Reading,API Call,Meanings
あ,あ,https://jisho.org/api/v1/search/words?keyword=あ,['Ah']
ああ,ああ,https://jisho.org/api/v1/search/words?keyword=ああ,['like that']
あいさつ,あいさつ,https://jisho.org/api/v1/search/words?keyword=あいさつ,['to greet']
間,あいだ,https://jisho.org/api/v1/search/words?keyword=間,['a space']
合う,あう,https://jisho.org/api/v1/search/words?keyword=合う,['to match']
あかちゃん,あかちゃん,https://jisho.org/api/v1/search/words?keyword=あかちゃん,['infant']
上る,あがる,https://jisho.org/api/v1/search/words?keyword=上る,['to rise']
赤ん坊,あかんぼう,https://jisho.org/api/v1/search/words?keyword=赤ん坊,['baby']
空く,あく,https://jisho.org/api/v1/search/words?keyword=空く,"['to open', 'to become empty']"
アクセサリー,アクセサリー,https://jisho.org/api/v1/search/words?keyword=アクセサリー,['accessory']
あげる,あげる,https://jisho.org/api/v1/search/words?keyword=あげる,['to give']
浅い,あさい,https://jisho.org/api/v1/search/words?keyword=浅い,"['shallow', 'superficial']"
味,あじ,https://jisho.org/api/v1/search/words?keyword=味,['flavour']
アジア,アジア,https://jisho.org/api/v1/search/words?keyword=アジア,['Asia']
明日,あす,https://jisho.org/api/v1/search/words?keyword=明日,['tomorrow']
遊び,あそび,https://jisho.org/api/v1/search/words?keyword=遊び,['play']
集る,あつまる,https://jisho.org/api/v1/search/words?keyword=集る,['to gather']
集める,あつめる,https://jisho.org/api/v1/search/words?keyword=集める,['to collect something']
アナウンサー,アナウンサー,https://jisho.org/api/v1/search/words?keyword=アナウンサー,['announcer']
アフリカ,アフリカ,https://jisho.org/api/v1/search/words?keyword=アフリカ,['Africa']
アメリカ,アメリカ,https://jisho.org/api/v1/search/words?keyword=アメリカ,['America']
謝る,あやまる,https://jisho.org/api/v1/search/words?keyword=謝る,['to apologize']
アルコール,アルコール,https://jisho.org/api/v1/search/words?keyword=アルコール,['alcohol']
アルバイト,アルバイト,https://jisho.org/api/v1/search/words?keyword=アルバイト,['part-time job']
安心,あんしん,https://jisho.org/api/v1/search/words?keyword=安心,['relief']
安全,あんぜん,https://jisho.org/api/v1/search/words?keyword=安全,['safety']
あんな,あんな,https://jisho.org/api/v1/search/words?keyword=あんな,['such']
案内,あんない,https://jisho.org/api/v1/search/words?keyword=案内,['to guide']
以下,いか,https://jisho.org/api/v1/search/words?keyword=以下,['less than']
以外,いがい,https://jisho.org/api/v1/search/words?keyword=以外,['with the exception of']
医学,いがく,https://jisho.org/api/v1/search/words?keyword=医学,['medical science']
生きる,いきる,https://jisho.org/api/v1/search/words?keyword=生きる,['to live']
意見,いけん,https://jisho.org/api/v1/search/words?keyword=意見,['opinion']
石,いし,https://jisho.org/api/v1/search/words?keyword=石,['stone']
いじめる,いじめる,https://jisho.org/api/v1/search/words?keyword=いじめる,['to tease']
以上,いじょう,https://jisho.org/api/v1/search/words?keyword=以上,"['more than', 'this is all']"
急ぐ,いそぐ,https://jisho.org/api/v1/search/words?keyword=急ぐ,['to hurry']
致す,いたす,https://jisho.org/api/v1/search/words?keyword=致す,['to do']
いただく,いただく,https://jisho.org/api/v1/search/words?keyword=いただく,['to receive']
一度,いちど,https://jisho.org/api/v1/search/words?keyword=一度,['once']
一生懸命,いっしょうけんめい,https://jisho.org/api/v1/search/words?keyword=一生懸命,['with utmost effort']
いっぱい,いっぱい,https://jisho.org/api/v1/search/words?keyword=いっぱい,['full']
糸,いと,https://jisho.org/api/v1/search/words?keyword=糸,['thread']
以内,いない,https://jisho.org/api/v1/search/words?keyword=以内,['within']
田舎,いなか,https://jisho.org/api/v1/search/words?keyword=田舎,['countryside']
祈る,いのる,https://jisho.org/api/v1/search/words?keyword=祈る,['to pray']
いらっしゃる,いらっしゃる,https://jisho.org/api/v1/search/words?keyword=いらっしゃる,"['to be', 'to come or to go']"
植える,うえる,https://jisho.org/api/v1/search/words?keyword=植える,"['to plant', 'to grow']"
うかがう,うかがう,https://jisho.org/api/v1/search/words?keyword=うかがう,['to visit']
受付,うけつけ,https://jisho.org/api/v1/search/words?keyword=受付,['receipt']
受ける,うける,https://jisho.org/api/v1/search/words?keyword=受ける,['to take a lesson or test']
動く,うごく,https://jisho.org/api/v1/search/words?keyword=動く,['to move']
うそ,うそ,https://jisho.org/api/v1/search/words?keyword=うそ,['a lie']
うち,うち,https://jisho.org/api/v1/search/words?keyword=うち,['within']
打つ,うつ,https://jisho.org/api/v1/search/words?keyword=打つ,['to hit']
美しい,うつくしい,https://jisho.org/api/v1/search/words?keyword=美しい,['beautiful']
写す,うつす,https://jisho.org/api/v1/search/words?keyword=写す,['to copy or photograph']
移る,うつる,https://jisho.org/api/v1/search/words?keyword=移る,['to move house or transfer']
腕,うで,https://jisho.org/api/v1/search/words?keyword=腕,['arm']
うまい,うまい,https://jisho.org/api/v1/search/words?keyword=うまい,['delicious']
裏,うら,https://jisho.org/api/v1/search/words?keyword=裏,['reverse side']
売り場,うりば,https://jisho.org/api/v1/search/words?keyword=売り場,['place where things are sold']
